,11991,14537,14538,14539,16098,2066,9739,2081,2014,2057,2043,2033,2098,2040,2020,2088,15197,2045,2022,2038,2018,2093,15199,10092,2082,2048,15058,2052,2065,2062,16367,15758,15470,2025,10262,2095,2053,2055,15469,2029,2069,2037,2027,2091,982,985,979,2104,2108
11991,0.0,0.00010236763131322268,4.127240403940453e-05,2.5198617504273346e-05,2.1091868838960255e-05,3.112068706053733e-05,1.8624737993856563e-06,2.8916343872285473e-05,2.490371621472463e-06,8.472728103118776e-06,2.8888341869281767e-05,2.305711410740169e-05,4.9035424518451846e-05,1.6799237344771196e-05,0.00018015967333999581,3.992898272456617e-06,8.435487750855136e-06,9.771490099872356e-06,4.481923230205358e-06,6.170390906221198e-06,4.523430016149879e-06,1.9572165181530643e-05,2.768973414065892e-06,4.14938455338854e-06,7.379903456344694e-06,1.3121852730039605e-06,2.296028525511967e-06,1.9458348559707904e-06,1.5241857663584599e-06,7.698119160811367e-06,9.33765519098129e-07,2.2905454765354177e-06,7.832039467319874e-07,1.6384076368336945e-06,5.671325172703969e-07,6.975978333919487e-07,1.2200882608717277e-06,5.667826405717682e-07,5.579518541283532e-07,1.572281725618828e-07,4.082663660294345e-06,1.0031839177871364e-07,2.9425375628204175e-07,7.5055693011197e-07,1.9007373301817544e-07,7.468693394995353e-07,2.4324465696556064e-08,2.0824686073680582e-07,1.0916680114718145e-06
14537,0.0,0.0,9.711097523013777e-05,5.929052056078173e-05,4.9627638613491764e-05,7.322472098778937e-05,4.382265855563921e-06,6.803806123933694e-05,5.859663920128153e-06,1.9935715112890024e-05,6.797217455588879e-05,5.425171828674151e-05,0.00011537679974406865,3.952738784287253e-05,0.0004239026531744157,9.395000224915141e-06,1.984809126324015e-05,2.2991607955385074e-05,1.0545640505367838e-05,1.4518482564820308e-05,1.0643302964232441e-05,4.60518860575491e-05,6.515193744700084e-06,9.763201101629957e-06,1.7364377928304396e-05,3.087476838576656e-06,5.402388701559609e-06,4.5784083795968856e-06,3.5862986333834246e-06,1.8113116416249068e-05,2.1970825859651936e-06,5.389487484735921e-06,1.8428221190755111e-06,3.855054415670064e-06,1.3344217066752136e-06,1.6413971392227326e-06,2.870779244334168e-06,1.3335984721628336e-06,1.312820271727735e-06,3.699464939468816e-07,9.606211676191653e-06,2.360419046549551e-07,6.923577606576617e-07,1.766006055264506e-06,4.472297170139388e-07,1.7573294218345496e-06,5.723370471682056e-08,4.899897693252394e-07,2.5686157055537134e-06
14538,0.0,0.0,0.0,6.130154114704891e-05,5.131091280227627e-05,7.570836289103699e-05,4.530903896968882e-06,7.034578160522155e-05,6.0584124664477065e-06,2.0611896281730992e-05,7.027766017201026e-05,5.6091832377208333e-05,0.00011929015920302453,4.086808092368121e-05,0.0004382806170385235,9.713660588858493e-06,2.0521300399388126e-05,2.37714391404101e-05,1.0903328377747498e-05,1.5010921609764842e-05,1.1004303359649914e-05,4.76138775870926e-05,6.736176603683073e-06,1.0094350132158657e-05,1.7953344278258197e-05,3.19219812324873e-06,5.585627350690984e-06,4.733699198713058e-06,3.7079389953168693e-06,1.872747853771483e-05,2.2716034076465565e-06,5.572288549370229e-06,1.9053271060993714e-06,3.985810457576385e-06,1.379682728125257e-06,1.6970701777792607e-06,2.9681505627908194e-06,1.3788315710792898e-06,1.3573486139912648e-06,3.8249436851617113e-07,9.932035926917504e-06,2.440479927276047e-07,7.158412061827698e-07,1.8259055889339533e-06,4.6239889008239704e-07,1.8169346607620693e-06,5.917496205990417e-08,5.066092812447414e-07,2.6557382170989198e-06
14539,0.0,0.0,0.0,0.0,9.099315657451296e-05,0.00013425882609203083,8.034962256658016e-06,0.00012474899335013294,1.0743797840369e-05,3.6552487633351326e-05,0.0001246281889461622,9.947148875948713e-05,0.00021154541093406257,7.247416744890607e-05,0.0007772330413110732,1.7225899727795636e-05,3.639182774918989e-05,4.2155521419780385e-05,1.933561911250378e-05,2.661989556935885e-05,1.9514684964903665e-05,8.443695077297098e-05,1.1945723413154968e-05,1.790100257294039e-05,3.183789524935544e-05,5.660943604042689e-06,9.905375607852358e-06,8.394593057132965e-06,6.575542221783319e-06,3.3210720561426446e-05,4.028389932248695e-06,9.881720997735152e-06,3.378847076040956e-06,7.068310720570333e-06,2.446685892866892e-06,3.0095307990263277e-06,5.263624717367575e-06,2.445176477771284e-06,2.4070792783406925e-06,6.783034653345202e-07,1.7613159673931963e-05,4.3278702328938833e-07,1.269450247507337e-06,3.2380034591155193e-06,8.200036270506969e-07,3.222094697661432e-06,1.0493901382648667e-07,8.984049422008954e-07,4.709602503868909e-06
16098,0.0,0.0,0.0,0.0,0.0,0.00019382636920104893,1.1599889602847728e-05,0.00018009724311135848,1.5510573028557116e-05,5.276998294609146e-05,0.0001799228405809127,0.00014360469301331668,0.00030540322834631916,0.00010462928320154684,0.0011220734070559277,2.4868633948663353e-05,5.253804197856112e-05,6.085895353332069e-05,2.7914387142503633e-05,3.843052897828199e-05,2.8172900381661322e-05,0.00012189967744477483,1.724576524350545e-05,2.584326434817249e-05,4.5963634710732716e-05,8.172573654646477e-06,1.4300162198100866e-05,1.2119080290997687e-05,9.49295857467736e-06,4.794555093576821e-05,5.815693589921605e-06,1.4266012583305766e-05,4.877963556643023e-06,1.0204357085722483e-05,3.5322239661528354e-06,4.344790169505509e-06,7.598973546103512e-06,3.5300448584091173e-06,3.4750448106856405e-06,9.792510610226724e-07,2.5427712196860974e-05,6.248046389442635e-07,1.8326760297088954e-06,4.674630876860104e-06,1.1838203147551705e-06,4.651663765044169e-06,1.514980327891749e-07,1.2970064843238925e-06,6.799144460561198e-06
2066,0.0,0.0,0.0,0.0,0.0,0.0,5.1965779831772516e-05,0.0008068088580374498,6.948505982925502e-05,0.00023640167358401174,0.0008060275606450138,0.0006433276621966528,0.001368161031486129,0.0004687236241862989,0.005026721944995101,0.00011140778065473359,0.00023536261255280205,0.0002726390585069201,0.00012505230187967396,0.0001721630529323041,0.000126210402734907,0.0005460924212678826,7.725846282661423e-05,0.00011577397985940621,0.0002059102459957529,3.661191422822184e-05,6.406259936842093e-05,5.42916768803516e-05,4.252704225070515e-05,0.00021478893585586396,2.6053442145580744e-05,6.390961417420439e-05,2.1852551092356147e-05,4.571400175319434e-05,1.582383791795281e-05,1.946401363236634e-05,3.40422710701778e-05,1.5814075839423047e-05,1.5567683807378744e-05,4.386899080887902e-06,0.00011391236803868895,2.799031837102728e-06,8.210115985883117e-06,2.0941650934512487e-05,5.303338906074102e-06,2.0838761690143703e-05,6.786886501864797e-07,5.810396108270744e-06,3.0459155748792584e-05
9739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61502900799746e-05,5.697082794939087e-06,1.938258253759524e-05,6.608623147596503e-05,5.274646038752977e-05,0.00011217557691306813,3.843066842707053e-05,0.00041214113045517074,9.134328328277629e-06,1.9297389882680054e-05,2.235368715613033e-05,1.0253043161463408e-05,1.4115655497670918e-05,1.0347995896243598e-05,4.477413915015461e-05,6.334424413169047e-06,9.492313173211803e-06,1.68825891874699e-05,3.00181229104404e-06,5.252495047967776e-06,4.451376727939695e-06,3.486793870819027e-06,1.7610553319154247e-05,2.136122748706862e-06,5.2399517858623225e-06,1.7916915256274062e-06,3.7480928060781232e-06,1.2973970947682524e-06,1.5958552451116593e-06,2.7911271472045006e-06,1.2965967015647154e-06,1.2763950091430774e-06,3.596820286011763e-07,9.339679546634746e-06,2.2949273067950751e-07,6.731477333770114e-07,1.7170067857723858e-06,4.348209660000199e-07,1.708570892570049e-06,5.564570918696838e-08,4.763946059995098e-07,2.4973473807351654e-06
2081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.885499417577083e-05,0.0002682800106874365,0.0009147189159274948,0.000730079231136689,0.0015526550662036326,0.0005319301551453099,0.005704566286189201,0.00012643091790166106,0.0002671008341599121,0.00030940394127140384,0.00014191537807724063,0.00019537892850088513,0.00014322964673324766,0.0006197319942492321,8.76766264746985e-05,0.0001313858911534761,0.00023367686936768547,4.154896448710746e-05,7.270132475232743e-05,6.161281108072776e-05,4.826173679971725e-05,0.0002437528344590008,2.9566701585879295e-05,7.252770978202208e-05,2.479932799004332e-05,5.187845201338684e-05,1.79576537736988e-05,2.2088700583821986e-05,3.863280960778098e-05,1.7946575296577277e-05,1.7666957745702976e-05,4.978464468810382e-06,0.00012927324435370484,3.176476205890876e-06,9.317235242224535e-06,2.376559459731147e-05,6.018484542982878e-06,2.3648830924870408e-05,7.702085842499932e-07,6.593917489637183e-06,3.456651768123959e-05
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7918777356049735e-05,9.519096742134902e-05,7.597628855818342e-05,0.00016157831138073625,5.5355743920008685e-05,0.0005936503269432821,1.3157136227826987e-05,2.7796065392340366e-05,3.2198372615634974e-05,1.4768539160952292e-05,2.0332266988146585e-05,1.4905309596807992e-05,6.449291366706836e-05,9.124139393033328e-06,1.3672779546418376e-05,2.4317773330999235e-05,4.323826758160677e-06,7.565722448158338e-06,6.411787260763476e-06,5.02239686466017e-06,2.5366336827440665e-05,3.0768828307922196e-06,7.547655065168402e-06,2.580762222871404e-06,5.398773272846324e-06,1.8687778349950776e-06,2.2986785787877962e-06,4.0203547305464866e-06,1.867624944269419e-06,1.8385263165792704e-06,5.18087951180444e-07,1.3452925240152133e-05,3.3056257803858076e-07,9.696056580401383e-07,2.4731859171927105e-06,6.263184854727408e-07,2.461034810720769e-06,8.01523823049439e-08,6.862013827479098e-07,3.597192756343059e-06
2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016469448084932006,0.00013145023881900192,0.0002795544244399804,9.577364064995372e-05,0.0010271030440229074,2.2763795549153774e-05,4.809131247907187e-05,5.5707956393094285e-05,2.5551761431835043e-05,3.517783511202723e-05,2.5788394555113263e-05,0.00011158229843219003,1.5786113338684643e-05,2.365593490816386e-05,4.2073351733392875e-05,7.480861078610719e-06,1.3089821068149278e-05,1.1093342181864317e-05,8.689490890276925e-06,4.388752197834448e-05,5.323463288365113e-06,1.305856181800779e-05,4.465101112062211e-06,9.340677855062905e-06,3.2332626056304104e-06,3.977054603271143e-06,6.955809496573741e-06,3.2312679338177217e-06,3.1809229955249537e-06,8.963689356813321e-07,2.3275554376125206e-05,5.719222490648517e-07,1.6775614830411903e-06,4.278978160532391e-06,1.0836237996687392e-06,4.2579549455535675e-06,1.3867549989399926e-07,1.1872300865429205e-06,6.223676569001709e-06
2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004246876345804134,0.0009031806128201738,0.00030942416893428836,0.0033183504735738545,7.354495946678173e-05,0.00015537275492307588,0.0001799805039568484,8.255228152754347e-05,0.00011365206877986326,8.331679258732773e-05,0.00036049856438421634,5.100155916989618e-05,7.642727111184283e-05,0.0001359300096147216,2.416906370534956e-05,4.2290414962027274e-05,3.5840218269166503e-05,2.8073888378256064e-05,0.00014179120604142052,1.7198972417421254e-05,4.2189423004001095e-05,1.4425787632498053e-05,3.0177734322007863e-05,1.0445980625818313e-05,1.2849013643756208e-05,2.2472734231844236e-05,1.0439536267394128e-05,1.0276882529000447e-05,2.8959765035500224e-06,7.519834288894043e-05,1.847758583791564e-06,5.419842706234676e-06,1.3824464145097182e-05,3.5009569582450407e-06,1.3756542629542331e-05,4.480309092882797e-07,3.835686733524044e-06,2.010736917809846e-05
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000672448777725856,0.00023037684959711227,0.0024706251311718934,5.4756731266530974e-05,0.0001156803164913856,0.00013400162512607338,6.146298982032077e-05,8.461784238082458e-05,6.203219438518018e-05,0.0002684034793828755,3.797240069051177e-05,5.690271061466409e-05,0.00010120452933136928,1.7994692442182204e-05,3.148665665213589e-05,2.668426516959285e-05,2.0901967621983405e-05,0.0001055683900223534,1.2805221697709707e-05,3.14114646941035e-05,1.0740491019748579e-05,2.246835269858719e-05,7.777388934474481e-06,9.566528994402823e-06,1.6731717279864196e-05,7.772590889782128e-06,7.651489632710358e-06,2.1561533014468523e-06,5.5987731628541846e-05,1.3757193008420877e-06,4.035257789572983e-06,1.029278516957762e-05,2.606581888523596e-06,1.0242215284144047e-05,3.3357429627898016e-07,2.8557996253303933e-06,1.4970622304297583e-05
2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042898481778119317,0.004600551980613145,0.00010196252976697089,0.0002154083605957506,0.00024952447625541666,0.00011445025632770039,0.0001575669159390689,0.00011551017236077181,0.0004997942193248232,7.070842152508457e-05,0.00010595855871359045,0.000188452991912053,3.350792352546738e-05,5.863131512596576e-05,4.968878015053085e-05,3.8921561724912735e-05,0.00019657893853654317,2.3844608111650442e-05,5.849130015279664e-05,1.9999872344139984e-05,4.1838327961785863e-05,1.44822788431378e-05,1.7813837217755918e-05,3.1156137003442036e-05,1.447334440232203e-05,1.4247841706244445e-05,4.014973868889514e-06,0.0001042547760013878,2.5617274245302917e-06,7.514055038895731e-06,1.9166199113122917e-05,4.853717109316999e-06,1.90720329105471e-05,6.211488218368352e-07,5.3177855502166435e-06,2.7876801390900992e-05
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004053700177722164,8.98425942754558e-05,0.00018980350908098155,0.00021986435932146663,0.00010084594769737037,0.00013883747816282902,0.00010177987515427941,0.0004403853981520554,6.23035544670638e-05,9.336362899462793e-05,0.00016605223243328044,2.9524951815061288e-05,5.166201219935686e-05,4.378244562300534e-05,3.429508944717437e-05,0.0001732122757095367,2.1010281493880736e-05,5.153864032484891e-05,1.7622556253577137e-05,3.6865149705728554e-05,1.2760820129332715e-05,1.5696367609763783e-05,2.7452714074356873e-05,1.2752947694791065e-05,1.2554249729195067e-05,3.537727723641141e-06,9.18623690779133e-05,2.2572236896473856e-06,6.620885140510073e-06,1.6887978894386905e-05,4.276772437647614e-06,1.6805005904683595e-05,5.473149961314651e-07,4.685678657874564e-06,2.456318181575245e-05
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010668796297765514,0.002253914183263167,0.002610886385969235,0.0011975443074803197,0.0016486932339389816,0.0012086346837934783,0.005229570832504549,0.0007398538929072681,0.0011086918709291528,0.0019718680842944684,0.0003506084159262585,0.000613485717918756,0.0005199159680737857,0.00040725373780252513,0.002056893504379019,0.0002494968174334688,0.0006120206785255666,0.00020926762459562166,0.00043777316969629854,0.00015153457182554827,0.0001863941596899806,0.00032600061990877824,0.0001514410867685219,0.0001490815510306908,4.201047036193628e-05,0.0010908644290897947,2.6804501737231758e-05,7.862292428737437e-05,0.00020054452808070713,5.0786616656756086e-05,0.0001995592249152095,6.499358407367529e-06,5.56423726638848e-05,0.00029168746220058065
2088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.763291046768805e-05,8.992831694674559e-05,4.1247732808136905e-05,5.6786924351202685e-05,4.162972525388563e-05,0.00018012522714439837,2.5483228888548214e-05,3.818733534365754e-05,6.791822846622121e-05,1.2076214775584088e-05,2.113065447036645e-05,1.79077757706629e-05,1.4027283380719223e-05,7.084680972007581e-05,8.593567684881146e-06,2.1080193244784874e-05,7.207929602935007e-06,1.507848237548475e-05,5.2193956338925424e-06,6.420085209261354e-06,1.122863378105553e-05,5.2161756723181e-06,5.134904775652829e-06,1.4469916860773684e-06,3.757329413194685e-05,9.232434397678833e-07,2.708056272609597e-06,6.907474787142981e-06,1.749273727078009e-06,6.873537402570579e-06,2.2386127789749414e-07,1.916523427245649e-06,1.0046765225453512e-05
