,11991,14537,14538,14539,16098,2066,9739,2081,2014,2057,2043,2033,2098,2040,2020,2088,15197,2045,2022,2038,2018,2093,15199,10092,2082,2048,15058,2052,2065,2062,16367,15758,15470,2025,10262,2095,2053,2055,15469,2029,2069,2037,2027,2091,982,985,979,2104,2108
15197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013818445683349683,6.338154373645118e-05,8.7259170004958e-05,6.39685158985295e-05,0.0002767816358633597,3.9157700954339316e-05,5.867891640301496e-05,0.00010436360679646596,1.8556392869633564e-05,3.2469505820430656e-05,2.751720872781952e-05,2.1554418014540324e-05,0.0001088636844538328,1.3204933919762032e-05,3.239196676171269e-05,1.1075753120849461e-05,2.316969746207645e-05,8.020158445705986e-06,9.865146125128861e-06,1.725399421114781e-05,8.01521063108767e-06,7.890329224503447e-06,2.2234571597909036e-06,5.773537654599885e-05,1.4186620808767517e-06,4.161217487554054e-06,1.06140722295256e-05,2.687945777663404e-06,1.0561923816070197e-05,3.439867456947574e-07,2.9449427921512506e-06,1.5437927037321245e-05
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001389424558265172,0.00019128602206796403,0.0001402291924519311,0.0006067495038373331,8.583992775151194e-05,0.00012863354644965778,0.00022878167637426297,4.06785736761059e-05,7.117833697650214e-05,6.0322111654962785e-05,4.725072310173487e-05,0.00023864656454619657,2.894732188076144e-05,7.100835898913176e-05,2.427981787786603e-05,5.0791673354066775e-05,1.758146685725655e-05,2.162597420177006e-05,3.782350803069307e-05,1.7570620458233825e-05,1.7296860491294072e-05,4.874172826887637e-06,0.00012656515654976608,3.1099336160790333e-06,9.122052617606095e-06,2.3267739707043244e-05,5.8924059822526255e-06,2.3153422064937857e-05,7.540738265596134e-07,6.455784439576129e-06,3.384239904845371e-05
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.559093883839198e-05,4.808382905366566e-05,0.00020805111197450292,2.9434045363967797e-05,4.410774497023734e-05,7.844799520728934e-05,1.3948462146776676e-05,2.440666545716253e-05,2.068412471224657e-05,1.6202016517100914e-05,8.183061182369301e-05,9.925879572850698e-06,2.4348380927781056e-05,8.325417781277178e-06,1.7416189141528083e-05,6.028589568943006e-06,7.415429187423641e-06,1.2969475631696501e-05,6.024870397582627e-06,5.930999590642188e-06,1.6713274097076952e-06,4.3398505298927056e-05,1.0663793590272046e-06,3.1279023362690377e-06,7.978381669153292e-06,2.0204740326273683e-06,7.939182770088841e-06,2.585678226918769e-07,2.2136534481313627e-06,1.160437496757031e-05
2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.874264193973598e-05,0.0004272437711217622,6.044434187985389e-05,9.057754663224583e-05,0.00016109703520071403,2.8643891937805884e-05,5.0120355961871864e-05,4.247592507698811e-05,3.327168295736677e-05,0.00016804341422140646,2.0383309563492805e-05,5.000066565166561e-05,1.709667809645234e-05,3.576504954373058e-05,1.2380021993327203e-05,1.5227969225704142e-05,2.66334922499087e-05,1.2372384481648573e-05,1.2179615901010605e-05,3.4321576968557203e-06,8.912108610711809e-05,2.1898654348601846e-06,6.4233100086094655e-06,1.6384021404295753e-05,4.1491484326173745e-06,1.6303524427850033e-05,5.309824619978919e-07,4.545852402135884e-06,2.383018709009982e-05
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011387239274388167,1.6110104588807622e-05,2.414144491048608e-05,4.293685736853618e-05,7.634396878136246e-06,1.3358474117875114e-05,1.1321019870756655e-05,8.867832382959226e-06,4.4788261305720136e-05,5.4327210574421005e-06,1.332657330870554e-05,4.556742015696001e-06,9.532384187731993e-06,3.299621485178488e-06,4.058678931253352e-06,7.09856923521628e-06,3.297585875093005e-06,3.2462076666630676e-06,9.147658447755497e-07,2.375325751925076e-05,5.836602747886114e-07,1.7119914424864173e-06,4.366799111372927e-06,1.10586389271668e-06,4.3453444198452915e-06,1.4152165002659592e-07,1.2115965757268074e-06,6.351410147792797e-06
2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047137554205585247,0.0007063695097670444,0.0012563161402645217,0.00022337955330228713,0.0003908638794764345,0.0003312487419796424,0.0002594694077456159,0.0013104875163498606,0.00015895935492989555,0.0003899304739152574,0.0001333285408432195,0.00027891394117320067,9.654567154304631e-05,0.00011875540414426422,0.0002077014399643154,9.648611036501864e-05,9.498280349851034e-05,2.676570121306511e-05,0.0006950112941233094,1.7077677980817618e-05,5.009221943584811e-05,0.00012777088359826574,3.2357157521588806e-05,0.00012714312747211956,4.140869733413862e-06,3.5450855671850596e-05,0.00018583984881853947
15199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.701470818468051e-05,0.00013697479802332523,2.435483252621356e-05,4.2615468535352325e-05,3.6115694190308504e-05,2.8289670553547428e-05,0.0001428810449146314,1.73311675601462e-05,4.2513700330584145e-05,1.4536667457682604e-05,3.0409687127035405e-05,1.0526270765613712e-05,1.2947774031951865e-05,2.2645464685565333e-05,1.0519776874411568e-05,1.0355872943062184e-05,2.9182356256605424e-06,7.577633414502334e-05,1.8619608688919313e-06,5.461500827586838e-06,1.3930722063675231e-05,3.52786609522931e-06,1.3862278488184196e-05,4.5147457490742796e-07,3.8651686783100445e-06,2.026191890780378e-05
10092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022459133288031406,3.9933508777342154e-05,6.987464130477509e-05,5.921725757695905e-05,4.638528333718907e-05,0.00023427553669576906,2.8417125477655077e-05,6.970777661810595e-05,2.3835111035556063e-05,4.986137788041252e-05,1.7259446377177255e-05,2.1229874908623644e-05,3.713073624360531e-05,1.7248798639770705e-05,1.698005283443054e-05,4.784897939504964e-06,0.00012424700114189443,3.052972366816081e-06,8.954973966713117e-06,2.28415699925561e-05,5.784481232933776e-06,2.2729346181545217e-05,7.402622818452005e-07,6.337540903846193e-06,3.322254487604033e-05
2082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014035814540333319,0.0002455951246093861,0.0002081365926474607,0.00016303481819033175,0.0008234307690649466,9.988040499963654e-05,0.0002450086292406781,8.377555799282396e-05,0.00017525258212522352,6.066343675673649e-05,7.461868392115529e-05,0.00013050697111719313,6.062601212962804e-05,5.9681425390887195e-05,1.6817941155078403e-05,0.00043670288903080017,1.0730575711820799e-05,3.147490858144023e-05,8.028346369790209e-05,2.0331272728922683e-05,7.988901987200612e-05,2.601871064502721e-06,2.2275164765544564e-05,0.00011677047490066294
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.857605010528658e-05,4.1167159035697996e-05,3.224651755573636e-05,0.00016286566909644925,1.9755260066808474e-05,4.846004768682568e-05,1.6569896121228746e-05,3.4663058657762746e-05,1.1998569385857815e-05,1.475876581308183e-05,2.5812862442447962e-05,1.1991167200800247e-05,1.1804338195856258e-05,3.3264062286097504e-06,8.637509173857919e-05,2.1223914125535394e-06,6.225395307594476e-06,1.587919777079402e-05,4.021305082318594e-06,1.580118106308894e-05,5.146218574077878e-07,4.405785829322007e-06,2.3095932578524514e-05
15058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.425416367442117e-05,6.599686331804328e-05,0.00033332663857365684,4.043181395287209e-05,9.918004752126668e-05,3.3912535442524774e-05,7.094264180519947e-05,2.4556696468132254e-05,3.0205812098171797e-05,5.282951721894202e-05,2.4541546894394413e-05,2.4159176045144656e-05,6.8079406351521676e-06,0.0001767783176493857,4.343761329252973e-06,1.2741114215076301e-05,3.2498927770042086e-05,8.230145206198305e-06,3.233925601677332e-05,1.0532432944151364e-06,9.017037101254711e-06,4.726895246759669e-05
2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87699867242546e-05,0.0003473326966932347,4.2130719082468434e-05,0.00010334749575111575,3.53375068892197e-05,7.392358196807363e-05,2.558854474593344e-05,3.147503066889987e-05,5.50493616687106e-05,2.5572758601979795e-05,2.5174320905025517e-05,7.09400361715264e-06,0.00018420636901027738,4.526281915952643e-06,1.3276483326192526e-05,3.386450081010558e-05,8.575967828068073e-06,3.3698119806517356e-05,1.0974995436568988e-06,9.395924148047574e-06,4.925514744542897e-05
2065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018227378261379622,2.2109423053203544e-05,5.423485653254372e-05,1.85444707917261e-05,3.879373015544904e-05,1.3428395560879302e-05,1.6517514626538657e-05,2.888888802395963e-05,1.3420111284165036e-05,1.3211018541526032e-05,3.7228020439330856e-06,9.666809943525258e-05,2.3753091311347826e-06,6.967253180346043e-06,1.7771464413664375e-05,4.5005094840719525e-06,1.7684150736697537e-05,5.759474853469909e-07,4.9308074129558314e-06,2.5848191441671046e-05
2062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014742644718808532,0.0003616400207779237,0.00012365521421470394,0.0002586780214132481,8.954103615516299e-05,0.00011013939585433873,0.00019263216929442617,8.94857962929301e-05,8.809155818432354e-05,2.4823781136255078e-05,0.0006445864472297427,1.583864876681524e-05,4.645790080395043e-05,0.0001185007792166883,3.0009562989336977e-05,0.00011791856840299247,3.84043904389969e-06,3.287880542660403e-05,0.0001723566924977215
16367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010280996864660487,3.5153710778624557e-05,7.35390934163038e-05,2.5455454570250283e-05,3.131132392422369e-05,5.4763041001064994e-05,2.5439750532594297e-05,2.504338517479072e-05,7.057106552584179e-06,0.000183248281778004,4.502739988837718e-06,1.3207430180893273e-05,3.368836604327967e-05,8.531362827032516e-06,3.352285041430412e-05,1.091791270344454e-06,9.347054421066785e-06,4.8998963426685415e-05
15758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001913012656805422,0.0004001888089746918,0.00013852479780665,0.00017039156789329995,0.0002980123242747191,0.00013843933876937228,0.00013628237744323378,3.840372426266584e-05,0.0009972098950996838,2.4503241331177297e-05,7.187287071635659e-05,0.0001833270775700724,4.6426407643531966e-05,0.00018242636613416372,5.941365712175687e-06,5.086527998126021e-05,0.00026664507140051834
15470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001246771817361618,4.315683248453104e-05,5.3084793977549616e-05,9.284451708784504e-05,4.313020807204688e-05,4.245821561941981e-05,1.196452274992185e-05,0.00031067665195081616,7.633884316753647e-06,2.2391698026642075e-05,5.7114798951833744e-05,1.4463956845669379e-05,5.683418599897698e-05,1.8510081142843108e-06,1.584686931284323e-05,8.307217813318875e-05
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.324595911659309e-05,0.00011469661335126014,0.0002006026750845567,9.318843360475459e-05,9.173650636271733e-05,2.5850910156315276e-05,0.0006712573819375994,1.6494001619696163e-05,4.838018080895431e-05,0.000123403964133004,3.125126315002099e-05,0.00012279766328970068,3.999344182891612e-06,3.4239225703161166e-05,0.00017948826361874798
10262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01509174477768e-05,8.77132105649767e-05,4.074649899633091e-05,4.011164604707611e-05,1.1303270631268541e-05,0.00029350625588801164,7.211976792022619e-06,2.115415950798624e-05,5.395819315962995e-05,1.3664566656171737e-05,5.369308905016597e-05,1.7487070812386797e-06,1.497104867827525e-05,7.848096668749411e-05
2095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010257737127169795,4.76515308087174e-05,4.690909365176937e-05,1.3218758960706405e-05,0.0003432447630962914,8.434141405075479e-06,2.4739010917676625e-05,6.31021208462685e-05,1.598020774896446e-05,6.27920913480096e-05,2.0450485663705914e-06,1.750809038577474e-05,9.178060187069818e-05
2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094850635660386e-05,8.953147841768797e-05,2.5229543793465815e-05,0.0006551226789260478,1.6097542936683038e-05,4.721728879465069e-05,0.00012043776016220102,3.0500091001707434e-05,0.00011984603269165402,3.903213797784089e-06,3.3416233281876557e-05,0.00017517398729870515
2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.198984156943947e-05,1.465048950238696e-05,0.00038042177888557126,9.34764757296869e-06,2.7418505839029908e-05,6.993674381874087e-05,1.7711032220808077e-05,6.959313486700992e-05,2.266548822211274e-06,1.9404400607205512e-05,0.00010172140578600603
15469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2030812918915513e-05,0.0005720628679023714,1.4056613936242578e-05,4.1230838912068085e-05,0.00010516804363279274,2.6633133138243303e-05,0.00010465133840382304,3.4083443468280943e-06,2.9179551953631678e-05,0.00015296453134589614
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333673474942083e-05,1.064861545486496e-06,3.123450287868238e-06,7.967025770684457e-06,2.0175982241081867e-06,7.927882664728978e-06,2.5819979442956e-07,2.210502680864943e-06,1.1587858071113027e-05
2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015238309375861794,0.0004469698620294895,0.001140091911607988,0.0002887209709606304,0.0011344904814407511,3.694873164477003e-05,0.0003163258535343464,0.0016582377966379179
2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836395678133459e-05,4.684118633067232e-05,1.1862230282175401e-05,4.661104906585153e-05,1.5180551725989045e-06,1.2996389234718139e-05,6.81294418651992e-05
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001952313317268592,4.944108372685062e-05,0.00019427213303420082,6.32716539007174e-06,5.416819206974637e-05,0.0002839595387540552
2091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022965312697199145,0.0009023912801206094,2.9389592767154615e-05,0.0002516104776336204,0.0013189879972832707
982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003937587562948786,1.2824159265436442e-05,0.00010979032147843113,0.0005755408821201348
985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4137284946510616e-05,0.0002922564677420713,0.0015320616879934293
979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643923239344143e-05,0.0001385992765973452
2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030049206287041636
2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
