stop_id,stop_seq,stop_name,total_boardings,total_alightings,lambda_pax_sec,lambda_pax_min,cum_dist_m
11991,1,Strachan Ave at Fleet St North Side,1507.0,83.0,0.0006636569968021949,0.039819419808131695,0.0
14537,2,East Liberty St at Pirandello St West Side,3006.0,209.0,0.0013206731940523463,0.07924039164314078,446.863521509482
14538,3,East Liberty St at Lynn Williams St,2874.0,283.0,0.0012650630993568596,0.07590378596141158,652.8646646947086
14539,4,Liberty St at Atlantic Ave,4868.0,298.0,0.0021347128312966925,0.12808276987780154,927.211431862948
16098,5,249 Dufferin St,6733.0,436.0,0.002950470935479615,0.1770282561287769,1452.1153596226955
2066,6,Dufferin St at King St West,28466.0,1041.0,0.01234935758099942,0.7409614548599652,1543.4478349736648
9739,7,Dufferin St at Melbourne Ave,2316.0,170.0,0.0010082636386183326,0.06049581831709996,1705.350237102611
2081,8,Dufferin St at Queen St West,30149.0,2776.0,0.013040067221403693,0.7824040332842216,1915.5678888192717
2014,9,Dufferin St at Alma Ave,3112.0,403.0,0.0013488190846170707,0.08092914507702424,2204.0668092508117
2057,10,Dufferin St at Gordon St,5274.0,1429.0,0.002285353287724558,0.1371211972634735,2456.532828590146
2043,11,Dufferin St at Dundas St West,15870.0,5214.0,0.0068513954826971216,0.4110837289618273,2774.703604320816
2033,12,Dufferin St at College St North Side,11109.0,5046.0,0.004784903236322784,0.28709419417936705,3169.072526845017
2098,13,Dufferin St at Sylvan Ave North Side,17742.0,12135.0,0.007657802985151908,0.45946817910911447,3426.744148942893
2040,14,Dufferin St at Dufferin Park Ave,14730.0,5051.0,0.006369553395609372,0.3821732037365623,3637.2585709750706
2020,15,Dufferin St at Bloor St West - Dufferin Station,63951.0,62597.0,0.027500726616832834,1.65004359700997,4013.3443706430553
2088,16,Dufferin St at Shanly St,2107.0,3618.0,0.0009104767571459486,0.054628605428756916,4324.611815161816
15197,17,Dufferin St at Hallam St,2965.0,7805.0,0.0012797534579514938,0.07678520747708963,4657.7944887871045
2045,18,Dufferin St at Dupont St,5810.0,9329.0,0.002502501377534916,0.15015008265209495,4952.730790834209
2022,19,Dufferin St at Brandon Ave,1879.0,4569.0,0.0008104515269789536,0.04862709161873722,5193.152329781759
2038,20,Dufferin St at Davenport Rd North Side,3557.0,6427.0,0.0015296099291031318,0.0917765957461879,5550.239534813689
2018,21,Dufferin St at Auburn Ave,885.0,4918.0,0.0003813660788089212,0.02288196472853527,5787.363361727424
2093,22,Dufferin St at St Clair Ave West,18188.0,21517.0,0.007826763666886805,0.4696058200132083,6059.710134778466
15199,23,Dufferin St at Ascot Ave,1858.0,4029.0,0.0008019500589793847,0.04811700353876308,6321.725704069939
10092,24,Dufferin St at Hope St,2752.0,6198.0,0.001188643451471381,0.07131860708828286,6580.636051002365
2082,25,Dufferin St at Rogers Rd,7836.0,11491.0,0.003388446735098102,0.2033068041058861,6949.974354423177
2048,26,Dufferin St at Eversfield Rd,1475.0,2335.0,0.0006424366702326328,0.038546200213957965,7109.52024318584
15058,27,Dufferin St at Martin St,2799.0,4186.0,0.0012154161486979168,0.07292496892187501,7303.463470968151
2052,28,Dufferin St at Gibson St North Side,2698.0,3722.0,0.0011786923011503157,0.07072153806901894,7564.694968946962
2065,29,Dufferin St at Rowan Ave,1337.0,3057.0,0.0005824667259488615,0.03494800355693169,7710.959079521928
2062,30,Dufferin St at Hunter Ave North Side,6111.0,15816.0,0.002668501284889149,0.16011007709334893,8032.024737229576
16367,31,Dufferin St at Eglinton Ave West,1639.0,2222.0,0.0007167116749474893,0.04300270049684936,8120.720826710204
15758,32,Dufferin St at Livingstone Ave North Side,7672.0,5662.0,0.003340761780694115,0.2004457068416469,8255.92957697019
15470,33,Dufferin St at Whitmore Ave,2247.0,2331.0,0.0009812015033784842,0.05887209020270905,8377.870175039767
2025,34,Dufferin St at Castlefield Ave,4243.0,5133.0,0.0018506323861199735,0.11103794316719841,8698.317432248066
10262,35,Dufferin St at Briar Hill Ave,1756.0,1969.0,0.0007684145071884253,0.04610487043130552,8881.669795790449
2095,36,Dufferin St at Stayner Ave,1920.0,2525.0,0.0008399828308780207,0.05039896985268124,9020.992285885864
2053,37,Dufferin St at Glencairn Ave,3211.0,4627.0,0.0014074243574590676,0.08444546144754406,9406.07601865364
2055,38,Dufferin St at Glengrove Ave,1740.0,2336.0,0.0007644615294913781,0.04586769176948268,9632.446185082228
15469,39,Dufferin St at Wenderly Dr,2434.0,2406.0,0.0010713860764908127,0.06428316458944876,9810.228315317934
2029,40,Dufferin St at Claver Ave North Side,180.0,723.0,7.949411378870472e-05,0.004769646827322283,10056.42597871712
2069,41,Dufferin St at Lawrence Ave West North Side,12218.0,18862.0,0.005174168701614511,0.3104501220968707,10260.747544608881
2037,42,Dufferin St at Dane Ave,482.0,787.0,0.00020632230873255007,0.012379338523953004,10439.809275571624
2027,43,Dufferin St at Celt Ave North Side,1823.0,2347.0,0.000783399444701784,0.04700396668210704,10657.08069089156
2091,44,Dufferin St at Orfus Rd,6318.0,6395.0,0.002732032474776647,0.16392194848659883,10924.920452919061
982,45,Dufferin St at Ranee Ave North Side,2514.0,2097.0,0.001091914119158881,0.06551484714953286,11144.203118722893
985,46,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,4244.0,9055.0,0.0018584554406820112,0.11150732644092068,11453.549776852671
979,47,Dufferin St at Yorkdale Rd,376.0,365.0,0.00016503850899078664,0.009902310539447198,11617.180882276314
2104,48,Dufferin St at Billy Bishop Way North Side,673.0,3179.0,0.00030049206287041636,0.01802952377222498,12046.521955181488
2108,49,Dufferin St at Wilson Ave,844.0,17270.0,0.00037072046585446525,0.022243227951267916,12213.658465554188
